"SCMEB" "DRSC" "BayesSpace" "Louvain"
"1150" 1 2 4 5
"1151" 3 1 2 4
"1152" 3 3 6 4
"1153" 3 3 6 4
"1154" 5 3 6 2
"1155" 3 3 6 4
"1156" 5 5 7 8
"1157" 1 1 2 5
"1158" 5 3 6 8
"1159" 5 5 6 8
"1160" 6 6 3 3
"1161" 6 6 3 3
"1162" 3 3 6 4
"1163" 1 1 2 5
"1164" 5 5 7 2
"1165" 6 6 3 3
"1166" 2 2 4 5
"1167" 2 2 4 6
"1168" 2 2 4 2
"1169" 4 1 7 2
"1170" 6 6 3 3
"1171" 5 1 6 4
"1172" 2 2 7 2
"1173" 1 1 2 6
"1174" 5 5 7 2
"1175" 6 6 3 3
"1176" 1 1 2 5
"1177" 6 6 3 3
"1178" 4 2 4 3
"1179" 6 6 3 3
"1180" 5 2 7 2
"1181" 2 2 4 2
"1182" 4 4 1 7
"1183" 2 2 7 2
"1184" 4 4 5 7
"1185" 3 1 2 5
"1186" 1 1 2 5
"1187" 3 1 2 5
"1188" 3 1 2 5
"1189" 2 2 7 2
"1190" 2 2 7 2
"1191" 1 2 4 6
"1192" 5 3 6 4
"1193" 1 2 4 6
"1194" 1 2 4 6
"1195" 3 3 6 4
"1196" 1 2 4 5
"1197" 6 6 3 3
"1198" 2 2 4 6
"1199" 1 1 2 5
"1200" 6 6 3 3
"1201" 4 4 5 7
"1202" 3 3 6 4
"1203" 5 1 7 6
"1204" 2 2 4 6
"1205" 6 6 3 3
"1206" 6 6 3 5
"1207" 3 3 6 4
"1208" 6 6 3 3
"1209" 1 2 4 6
"1210" 1 2 4 2
"1211" 5 1 2 6
"1212" 3 3 6 4
"1213" 3 3 6 4
"1214" 2 2 4 6
"1215" 1 1 2 5
"1216" 6 6 3 3
"1217" 1 2 7 6
"1218" 6 6 3 3
"1219" 2 2 4 2
"1220" 1 1 2 5
"1221" 4 4 5 7
"1222" 2 2 7 6
"1223" 6 3 6 3
"1224" 6 6 3 3
"1225" 3 1 2 5
"1226" 6 6 3 3
"1227" 2 2 4 2
"1228" 4 1 7 9
"1229" 6 3 6 4
"1230" 3 3 6 4
"1231" 3 3 6 4
"1232" 6 6 3 3
"1233" 4 2 4 7
"1234" 3 3 6 4
"1235" 5 1 7 6
"1236" 3 3 6 4
"1237" 3 1 2 5
"1238" 3 3 6 4
"1239" 2 2 7 6
"1240" 5 1 2 5
"1241" 1 1 2 5
"1242" 4 4 1 7
"1243" 5 3 6 8
"1244" 2 2 4 2
"1245" 4 4 4 2
"1246" 6 3 6 3
"1247" 3 3 6 4
"1248" 2 2 4 6
"1249" 1 1 2 5
"1250" 4 4 1 7
"1251" 1 1 2 5
"1252" 5 3 6 4
"1253" 1 1 2 6
"1254" 5 5 6 8
"1255" 4 4 5 6
"1256" 2 2 4 6
"1257" 1 1 2 5
"1258" 1 2 4 7
"1259" 6 6 3 3
"1260" 3 3 6 4
"1261" 2 2 4 2
"1262" 1 2 4 6
"1263" 6 6 3 3
"1264" 1 2 2 6
"1265" 4 2 4 2
"1266" 6 6 3 3
"1267" 6 6 3 3
"1268" 5 1 7 2
"1269" 6 6 3 3
"1270" 5 2 7 2
"1271" 2 2 4 2
"1272" 3 1 2 5
"1273" 2 2 7 2
"1274" 5 3 6 8
"1275" 3 3 6 4
"1276" 1 2 2 5
"1277" 1 1 7 5
"1278" 5 3 6 8
"1279" 6 6 3 3
"1280" 1 2 4 2
"1281" 5 5 6 8
"1282" 3 3 6 4
"1283" 6 6 3 3
"1284" 5 5 6 8
"1285" 2 2 4 2
"1286" 4 2 4 2
"1287" 2 2 4 2
"1288" 3 5 6 4
"1289" 5 5 7 8
"1290" 6 3 6 3
"1291" 6 6 3 3
"1292" 2 2 4 6
"1293" 6 6 3 3
"1294" 3 3 6 4
"1295" 6 6 3 3
"1296" 6 5 6 3
"1297" 5 5 7 2
"1298" 3 3 6 4
"1299" 4 4 7 9
"1300" 2 2 7 2
"1301" 3 3 6 4
"1302" 5 1 7 5
"1303" 3 3 6 4
"1304" 2 2 4 6
"1305" 2 2 7 2
"1306" 6 6 3 3
"1307" 2 2 7 2
"1308" 2 2 4 6
"1309" 6 6 3 3
"1310" 2 2 4 2
"1311" 3 3 6 4
"1312" 6 6 3 3
"1313" 4 4 1 7
"1314" 3 1 2 4
"1315" 6 6 3 3
"1316" 3 3 6 4
"1317" 6 6 3 3
"1318" 3 1 6 4
"1319" 6 6 3 7
"1320" 6 3 3 3
"1321" 2 2 4 2
"1322" 6 6 3 3
"1323" 3 1 2 5
"1324" 3 3 6 4
"1325" 6 6 3 3
"1326" 3 1 2 4
"1327" 1 2 4 6
"1328" 3 3 6 4
"1329" 1 1 2 8
"1330" 6 6 3 3
"1331" 5 1 7 2
"1332" 4 4 1 7
"1333" 1 1 2 5
"1334" 6 5 3 3
"1335" 1 2 4 6
"1336" 3 3 6 4
"1337" 3 1 2 5
"1338" 6 6 6 2
"1339" 3 3 6 4
"1340" 2 2 4 2
"1341" 5 1 7 6
"1342" 4 4 4 9
"1343" 1 1 2 5
"1344" 6 6 3 3
"1345" 1 1 2 5
"1346" 6 6 3 3
"1347" 3 3 6 4
"1348" 5 3 6 8
"1349" 1 1 2 5
"1350" 3 3 6 4
"1351" 5 1 7 6
"1352" 5 5 7 2
"1353" 1 2 4 7
"1354" 3 1 6 4
"1355" 5 5 6 8
"1356" 6 6 3 3
"1357" 1 2 4 5
"1358" 5 5 6 8
"1359" 5 3 6 8
"1360" 6 6 3 3
"1361" 2 2 4 2
"1362" 1 2 4 6
"1363" 5 5 7 2
"1364" 2 2 4 2
"1365" 1 2 4 6
"1366" 3 1 2 5
"1367" 3 3 6 4
"1368" 6 6 3 3
"1369" 1 1 2 4
"1370" 3 3 6 4
"1371" 2 2 4 6
"1372" 1 2 2 5
"1373" 1 2 2 5
"1374" 3 1 2 5
"1375" 3 3 6 5
"1376" 4 2 4 2
"1377" 3 3 6 5
"1378" 3 3 6 4
"1379" 2 2 4 2
"1380" 2 2 4 2
"1381" 6 6 3 3
"1382" 3 3 6 4
"1383" 1 2 4 2
"1384" 3 3 6 4
"1385" 3 1 2 4
"1386" 5 5 7 2
"1387" 1 1 2 5
"1388" 5 3 6 4
"1389" 3 3 6 4
"1390" 2 2 4 2
"1391" 5 5 6 8
"1392" 3 3 6 4
"1393" 2 5 7 2
"1394" 1 1 2 5
"1395" 3 1 2 5
"1396" 1 2 2 5
"1397" 1 1 2 5
"1398" 1 1 2 6
"1399" 2 2 4 2
"1400" 3 3 6 4
"1401" 1 2 2 5
"1402" 6 6 3 3
"1403" 6 3 6 4
"1404" 6 6 3 3
"1405" 2 2 4 6
"1406" 4 4 5 7
"1407" 1 1 2 5
"1408" 6 6 3 3
"1409" 2 2 4 2
"1410" 6 5 7 8
"1411" 4 4 5 7
"1412" 5 1 7 4
"1413" 2 2 4 2
"1414" 4 2 4 2
"1415" 3 3 6 4
"1416" 5 5 7 2
"1417" 2 2 7 2
"1418" 6 6 3 3
"1419" 3 1 2 5
"1420" 3 1 2 5
"1421" 6 5 3 3
"1422" 6 6 3 3
"1423" 4 2 4 2
"1424" 1 1 2 5
"1425" 4 4 5 7
"1426" 1 2 2 5
"1427" 1 2 4 6
"1428" 3 3 6 4
"1429" 1 2 4 2
"1430" 5 2 7 2
"1431" 2 4 4 2
"1432" 2 2 4 2
"1433" 3 3 6 5
"1434" 4 4 1 7
"1435" 4 4 7 9
"1436" 3 3 6 4
"1437" 5 1 7 2
"1438" 4 4 5 7
"1439" 6 6 3 3
"1440" 1 1 2 5
"1441" 2 2 4 2
"1442" 3 1 2 4
"1443" 1 2 4 5
"1444" 1 2 2 5
"1445" 6 6 3 3
"1446" 1 1 2 5
"1447" 6 6 3 3
"1448" 2 2 4 2
"1449" 1 2 4 2
"1450" 3 1 2 4
"1451" 4 4 4 7
"1452" 2 2 7 6
"1453" 3 1 2 5
"1454" 3 1 2 5
"1455" 1 2 2 5
"1456" 2 2 7 2
"1457" 4 2 4 7
"1458" 6 6 3 3
"1459" 6 6 3 3
"1460" 5 5 7 6
"1461" 6 6 3 3
"1462" 6 6 3 3
"1463" 5 5 6 8
"1464" 5 3 6 8
"1465" 1 2 4 2
"1466" 5 3 6 4
"1467" 3 1 6 4
"1468" 1 1 2 5
"1469" 2 2 4 2
"1470" 2 2 4 2
"1471" 6 6 3 3
"1472" 3 3 6 4
"1473" 5 5 7 8
"1474" 6 6 3 3
"1475" 4 2 4 2
"1476" 1 2 4 2
"1477" 1 2 4 5
"1478" 1 1 2 5
"1479" 1 1 2 5
"1480" 1 2 7 6
"1481" 4 4 5 7
"1482" 2 2 4 2
"1483" 6 6 3 3
"1484" 1 2 4 5
"1485" 6 6 3 3
"1486" 6 6 3 3
"1487" 1 1 2 4
"1488" 1 2 4 5
"1489" 6 6 3 3
"1490" 5 5 6 8
"1491" 3 3 6 4
"1492" 4 4 4 2
"1493" 5 3 6 8
"1494" 3 1 6 4
"1495" 3 3 6 4
"1496" 1 1 2 5
"1497" 5 5 6 8
"1498" 1 2 4 6
"1499" 3 3 6 4
"1500" 3 3 6 4
"1501" 2 2 7 2
"1502" 5 5 7 2
"1503" 1 2 4 2
"1504" 6 6 3 3
"1505" 5 5 6 8
"1506" 3 3 6 4
"1507" 6 6 3 3
"1508" 2 2 4 2
"1509" 6 6 3 3
"1510" 1 2 4 5
"1511" 6 6 3 3
"1512" 6 6 3 3
"1513" 5 1 7 6
"1514" 5 1 7 6
"1515" 5 2 7 2
"1516" 6 6 3 3
"1517" 6 3 6 3
"1518" 4 5 3 3
"1519" 2 2 4 6
"1520" 1 2 4 6
"1521" 6 3 6 3
"1522" 3 1 6 4
"1523" 2 2 4 2
"1524" 6 6 3 3
"1525" 3 1 2 5
"1526" 3 3 6 4
"1527" 4 4 5 7
"1528" 6 6 3 3
"1529" 2 2 7 2
"1530" 1 2 4 6
"1531" 1 2 4 6
"1532" 3 6 6 4
"1533" 5 5 6 8
"1534" 4 4 5 7
"1535" 3 3 6 4
"1536" 2 2 4 2
"1537" 2 2 4 2
"1538" 3 1 6 4
"1539" 6 3 6 3
"1540" 3 5 6 4
"1541" 3 3 6 4
"1542" 6 6 3 3
"1543" 1 1 2 5
"1544" 1 2 4 2
"1545" 2 2 4 6
"1546" 6 6 3 3
"1547" 6 6 3 3
"1548" 3 3 6 4
"1549" 6 6 3 3
"1550" 2 2 4 2
"1551" 5 1 7 4
"1552" 2 2 4 2
"1553" 4 4 1 7
"1554" 5 3 6 4
"1555" 3 3 6 4
"1556" 1 2 4 5
"1557" 1 1 2 5
"1558" 6 6 3 3
"1559" 1 2 4 2
"1560" 5 3 6 8
"1561" 3 3 6 4
"1562" 4 1 7 9
"1563" 1 2 7 2
"1564" 6 6 3 3
"1565" 4 2 4 2
"1566" 2 2 4 6
"1567" 3 3 6 5
"1568" 2 2 4 2
"1569" 3 1 2 5
"1570" 5 5 7 8
"1571" 1 1 2 4
"1572" 2 2 4 2
"1573" 1 1 2 6
"1574" 1 2 2 5
"1575" 5 3 6 8
"1576" 5 5 6 8
"1577" 1 1 2 5
"1578" 1 2 4 2
"1579" 5 3 6 8
"1580" 5 3 6 4
"1581" 4 4 1 7
"1582" 2 2 7 2
"1583" 2 2 4 6
"1584" 1 4 4 7
"1585" 4 4 1 7
"1586" 4 4 4 2
"1587" 3 3 6 4
"1588" 2 2 7 6
"1589" 1 2 4 6
"1590" 6 6 3 4
"1591" 6 6 3 3
"1592" 1 1 2 5
"1593" 5 1 7 8
"1594" 5 5 6 4
"1595" 1 2 4 6
"1596" 6 6 3 3
"1597" 2 2 4 6
"1598" 1 2 4 2
"1599" 6 6 3 3
"1600" 2 2 4 2
"1601" 6 6 3 3
"1602" 1 1 2 5
"1603" 4 4 5 7
"1604" 2 2 4 2
"1605" 5 3 6 4
"1606" 5 5 6 8
"1607" 5 5 6 8
"1608" 5 1 7 2
"1609" 3 3 6 4
"1610" 1 1 2 5
"1611" 6 6 3 3
"1612" 4 4 4 2
"1613" 4 4 5 7
"1614" 3 3 6 4
"1615" 6 3 6 3
"1616" 5 5 6 8
"1617" 1 2 7 6
"1618" 2 2 4 2
"1619" 3 3 6 5
"1620" 4 5 4 2
"1621" 2 2 4 2
"1622" 5 5 7 2
"1623" 6 6 3 3
"1624" 5 5 7 8
"1625" 3 1 2 4
"1626" 4 4 7 8
"1627" 3 3 6 4
"1628" 3 3 6 4
"1629" 6 6 3 3
"1630" 6 6 3 3
"1631" 3 3 6 4
"1632" 3 3 6 4
"1633" 3 1 7 4
"1634" 2 2 4 6
"1635" 1 2 2 5
"1636" 1 2 4 2
"1637" 3 3 6 4
"1638" 3 3 6 4
"1639" 5 3 6 5
"1640" 3 3 6 4
"1641" 5 5 7 8
"1642" 1 1 2 5
"1643" 2 2 4 2
"1644" 3 3 6 4
"1645" 6 5 6 3
"1646" 4 4 5 7
"1647" 1 1 2 5
"1648" 4 4 1 7
"1649" 2 2 4 2
"1650" 2 2 4 2
"1651" 6 6 3 3
"1652" 2 2 4 6
"1653" 2 2 4 2
"1654" 1 1 2 2
"1655" 4 4 7 9
"1656" 3 1 2 4
"1657" 1 1 2 6
"1658" 1 1 2 5
"1659" 5 3 6 4
"1660" 4 4 5 7
"1661" 5 5 6 8
"1662" 6 6 3 3
"1663" 6 6 3 3
"1664" 5 5 7 2
"1665" 6 6 3 3
"1666" 6 6 3 3
"1667" 2 2 4 2
"1668" 5 1 7 6
"1669" 3 1 6 4
"1670" 2 2 4 6
"1671" 4 4 5 7
"1672" 3 3 6 4
"1673" 3 3 6 4
"1674" 1 2 4 6
"1675" 2 2 4 2
"1676" 6 6 3 3
"1677" 5 3 6 8
"1678" 5 1 2 6
"1679" 1 2 4 2
"1680" 5 1 7 5
"1681" 4 4 5 7
"1682" 3 3 6 4
"1683" 5 5 7 2
"1684" 5 1 7 5
"1685" 1 2 2 5
"1686" 5 5 7 8
"1687" 2 2 4 8
"1688" 1 1 7 5
"1689" 2 2 4 2
"1690" 6 6 3 3
"1691" 4 4 5 7
"1692" 4 4 5 7
"1693" 3 3 6 4
"1694" 1 2 4 5
"1695" 3 3 6 4
"1696" 3 1 6 4
"1697" 5 5 7 8
"1698" 5 3 6 8
"1699" 2 2 4 2
"1700" 6 6 3 3
"1701" 2 2 4 2
"1702" 6 6 3 8
"1703" 5 3 6 8
"1704" 6 6 3 3
"1705" 6 6 3 3
"1706" 3 1 2 5
"1707" 6 6 3 3
"1708" 1 1 2 6
"1709" 5 5 6 8
"1710" 3 3 6 4
"1711" 3 3 6 4
"1712" 3 1 2 5
"1713" 1 1 2 4
"1714" 3 1 2 5
"1715" 1 1 2 5
"1716" 6 6 3 3
"1717" 5 1 7 2
"1718" 1 1 2 5
"1719" 4 2 4 7
"1720" 4 4 5 7
"1721" 1 1 2 5
"1722" 3 3 6 4
"1723" 2 2 4 2
"1724" 2 2 4 2
"1725" 3 3 6 4
"1726" 2 2 4 2
"1727" 5 3 6 4
"1728" 1 2 4 6
"1729" 4 4 7 9
"1730" 6 6 3 3
"1731" 1 2 4 6
"1732" 4 4 4 7
"1733" 1 2 4 2
"1734" 1 2 4 6
"1735" 5 1 2 4
"1736" 6 6 3 3
"1737" 3 3 6 4
"1738" 1 1 2 5
"1739" 1 1 7 3
"1740" 2 2 4 2
"1741" 2 2 4 2
"1742" 5 2 7 2
"1743" 6 6 3 3
"1744" 3 3 6 4
"1745" 5 3 6 4
"1746" 1 1 2 5
"1747" 4 4 1 7
"1748" 6 6 3 3
"1749" 5 5 7 8
"1750" 2 2 4 2
"1751" 5 5 7 2
"1752" 6 6 3 3
"1753" 5 3 6 8
"1754" 6 6 3 3
"1755" 6 6 3 3
"1756" 5 5 7 2
"1757" 1 2 7 2
"1758" 5 2 7 2
"1759" 4 1 7 9
"1760" 3 3 6 4
"1761" 5 1 2 5
"1762" 3 1 2 4
"1763" 1 2 2 5
"1764" 2 2 4 7
"1765" 5 3 6 4
"1766" 5 3 6 4
"1767" 5 5 6 8
"1768" 3 3 6 4
"1769" 6 6 7 5
"1770" 5 1 7 2
"1771" 6 6 3 3
"1772" 6 5 3 3
"1773" 1 2 4 2
"1774" 3 3 6 4
"1775" 6 6 3 3
"1776" 1 2 4 6
"1777" 6 6 3 3
"1778" 1 2 2 5
"1779" 1 2 2 5
"1780" 1 2 4 6
"1781" 6 6 3 3
"1782" 3 1 6 4
"1783" 3 3 6 4
"1784" 6 6 3 3
"1785" 3 3 6 4
"1786" 1 2 2 5
"1787" 4 4 1 7
"1788" 2 2 4 2
"1789" 6 5 3 3
"1790" 6 5 3 3
"1791" 3 3 6 4
"1792" 5 3 6 8
"1793" 4 4 1 7
"1794" 5 1 7 2
"1795" 1 1 2 5
"1796" 3 5 6 4
"1797" 2 2 4 2
"1798" 6 6 3 3
"1799" 6 6 3 3
"1800" 5 1 2 2
"1801" 6 6 3 3
"1802" 2 2 4 2
"1803" 1 1 7 5
"1804" 1 2 4 6
"1805" 4 1 7 2
"1806" 3 3 6 4
"1807" 6 6 3 3
"1808" 1 1 2 4
"1809" 4 4 7 9
"1810" 2 2 4 2
"1811" 3 1 2 4
"1812" 4 4 1 7
"1813" 5 3 6 8
"1814" 4 4 5 5
"1815" 2 2 4 2
"1816" 3 3 6 4
"1817" 3 3 6 4
"1818" 1 1 2 5
"1819" 6 6 3 3
"1820" 2 2 4 6
"1821" 2 2 4 2
"1822" 5 1 7 5
"1823" 1 1 2 5
"1824" 6 6 3 3
"1825" 5 1 7 5
"1826" 5 3 6 8
"1827" 4 4 1 7
"1828" 5 1 7 5
"1829" 4 4 1 7
"1830" 4 2 4 5
"1831" 1 1 2 6
"1832" 4 4 5 7
"1833" 6 6 3 3
"1834" 5 1 7 2
"1835" 2 2 4 2
"1836" 6 6 3 3
"1837" 4 4 1 7
"1838" 2 2 4 6
"1839" 2 2 4 2
"1840" 6 6 3 8
"1841" 2 2 4 2
"1842" 5 1 7 5
"1843" 6 5 3 3
"1844" 4 4 1 7
"1845" 1 1 7 5
"1846" 6 6 3 3
"1847" 2 2 4 6
"1848" 1 1 2 5
"1849" 3 3 6 4
"1850" 6 6 3 3
"1851" 6 6 3 3
"1852" 1 1 2 5
"1853" 1 2 4 6
"1854" 6 6 3 3
"1855" 1 1 2 5
"1856" 1 2 7 6
"1857" 3 3 6 4
"1858" 4 4 1 7
"1859" 3 3 6 4
"1860" 1 1 2 5
"1861" 3 3 6 4
"1862" 2 5 7 2
"1863" 1 2 4 6
"1864" 5 1 7 6
"1865" 4 5 6 3
"1866" 5 5 6 8
"1867" 1 1 2 2
"1868" 6 6 3 3
"1869" 3 1 2 4
"1870" 1 2 4 6
"1871" 6 6 3 3
"1872" 5 5 7 2
"1873" 3 3 6 4
"1874" 6 6 3 3
"1875" 1 2 2 5
"1876" 1 1 2 5
"1877" 6 6 3 3
"1878" 3 3 6 4
"1879" 4 2 4 6
"1880" 3 3 6 4
"1881" 4 4 4 7
"1882" 1 1 2 5
"1883" 3 1 6 4
"1884" 5 5 6 8
"1885" 6 6 3 3
"1886" 3 3 6 4
"1887" 5 5 6 8
"1888" 5 1 7 5
"1889" 6 6 3 3
"1890" 5 1 2 4
"1891" 2 2 7 2
"1892" 6 6 3 3
"1893" 5 3 6 8
"1894" 2 2 7 2
"1895" 6 3 6 3
"1896" 4 4 1 7
"1897" 5 5 6 8
"1898" 2 2 4 2
"1899" 2 2 4 2
"1900" 6 6 3 3
"1901" 5 1 2 4
"1902" 1 1 2 5
"1903" 2 2 4 2
"1904" 3 5 6 4
"1905" 6 6 3 3
"1906" 4 4 5 7
"1907" 4 4 5 7
"1908" 1 2 4 2
"1909" 2 2 7 6
"1910" 2 2 7 2
"1911" 5 1 2 5
"1912" 2 2 4 6
"1913" 5 5 7 2
"1914" 5 1 6 6
"1915" 3 3 6 4
"1916" 2 2 4 2
"1917" 2 2 4 6
"1918" 6 6 3 3
"1919" 4 4 5 7
"1920" 3 3 6 4
"1921" 4 4 5 7
"1922" 2 2 4 2
"1923" 6 6 3 3
"1924" 6 6 3 3
"1925" 2 2 4 2
"1926" 1 2 4 6
"1927" 3 3 6 4
"1928" 2 2 4 2
"1929" 1 2 2 5
"1930" 4 4 5 7
"1931" 1 2 4 2
"1932" 5 3 6 8
"1933" 3 1 6 4
"1934" 6 6 3 3
"1935" 6 3 3 3
"1936" 4 2 4 2
"1937" 1 2 4 2
"1938" 2 2 4 2
"1939" 3 3 6 4
"1940" 5 1 7 2
"1941" 3 3 4 4
"1942" 5 3 6 8
"1943" 1 2 2 5
"1944" 3 3 6 4
"1945" 3 1 2 4
"1946" 3 3 6 4
"1947" 1 2 4 6
"1948" 5 5 7 8
"1949" 6 6 3 3
"1950" 6 5 6 8
"1951" 1 1 2 5
"1952" 5 1 6 8
"1953" 6 6 3 3
"1954" 3 3 6 4
"1955" 2 2 4 2
"1956" 2 2 4 2
"1957" 6 6 3 3
"1958" 4 4 5 7
"1959" 5 1 7 8
"1960" 3 3 6 4
"1961" 4 4 5 7
"1962" 2 2 4 2
"1963" 4 4 1 7
"1964" 6 6 3 3
"1965" 6 6 3 3
"1966" 2 2 4 2
"1967" 2 2 4 2
"1968" 2 2 4 2
"1969" 2 2 7 6
"1970" 3 1 2 4
"1971" 6 6 3 3
"1972" 1 1 7 9
"1973" 4 4 5 7
"1974" 3 3 6 4
"1975" 5 1 2 5
"1976" 2 2 4 2
"1977" 6 6 3 3
"1978" 6 6 3 3
"1979" 5 1 7 4
"1980" 4 4 5 7
"1981" 1 2 4 6
"1982" 5 3 6 4
"1983" 3 3 6 4
"1984" 1 2 4 6
"1985" 6 6 3 3
"1986" 3 3 6 4
"1987" 5 5 7 2
"1988" 3 3 6 5
"1989" 2 2 2 6
"1990" 6 6 3 3
"1991" 2 2 4 2
"1992" 5 2 7 2
"1993" 6 6 3 3
"1994" 3 3 6 4
"1995" 2 2 4 2
"1996" 2 2 4 2
"1997" 3 3 6 4
"1998" 1 1 2 5
"1999" 1 2 4 2
"2000" 6 6 3 3
"2001" 6 6 6 3
"2002" 4 4 1 7
"2003" 2 2 4 2
"2004" 4 4 5 7
"2005" 2 4 4 2
"2006" 1 1 2 5
"2007" 6 6 3 3
"2008" 6 6 3 3
"2009" 2 2 4 6
"2010" 2 2 4 2
"2011" 2 2 7 2
"2012" 6 6 3 3
"2013" 5 1 2 5
"2014" 2 2 7 2
"2015" 4 4 5 7
"2016" 1 2 4 6
"2017" 4 2 4 2
"2018" 6 6 3 3
"2019" 5 5 6 8
"2020" 1 1 2 5
"2021" 3 3 6 4
"2022" 5 5 7 2
"2023" 3 3 6 4
"2024" 1 2 4 6
"2025" 5 1 6 5
"2026" 5 5 6 8
"2027" 6 6 3 3
"2028" 5 3 6 8
"2029" 1 1 2 5
"2030" 6 6 3 3
"2031" 5 3 6 4
"2032" 5 1 7 5
"2033" 2 2 4 2
"2034" 2 2 4 2
"2035" 5 1 7 2
"2036" 3 3 6 4
"2037" 1 1 7 5
"2038" 6 6 3 3
"2039" 3 3 6 4
"2040" 5 1 7 6
"2041" 1 1 2 5
"2042" 1 2 4 6
"2043" 4 4 1 7
"2044" 3 1 2 4
"2045" 3 3 6 4
"2046" 6 5 3 3
"2047" 5 1 7 4
"2048" 2 2 7 2
"2049" 1 2 4 6
"2050" 3 3 6 4
"2051" 3 1 2 5
"2052" 4 4 7 9
"2053" 1 1 7 5
"2054" 6 6 3 3
"2055" 1 1 2 5
"2056" 3 3 6 4
"2057" 2 2 4 2
"2058" 2 2 4 2
"2059" 1 2 4 6
"2060" 3 3 6 4
"2061" 5 5 6 8
"2062" 2 2 4 6
"2063" 4 4 1 7
"2064" 4 4 4 2
"2065" 3 3 6 4
"2066" 2 2 4 2
"2067" 4 4 5 7
"2068" 2 2 4 2
"2069" 3 1 2 4
"2070" 2 2 4 6
"2071" 1 1 2 5
"2072" 1 2 4 6
"2073" 5 3 6 8
"2074" 2 2 4 2
"2075" 5 1 7 2
"2076" 1 1 2 5
"2077" 6 6 3 3
"2078" 1 2 4 2
"2079" 1 2 4 6
"2080" 4 4 1 7
"2081" 3 3 6 4
"2082" 6 6 3 3
"2083" 3 3 6 4
"2084" 5 3 6 8
"2085" 2 2 4 2
"2086" 2 2 4 2
"2087" 2 2 4 2
"2088" 1 2 7 2
"2089" 2 2 4 6
"2090" 3 3 6 4
"2091" 2 2 4 2
"2092" 6 6 3 3
"2093" 3 1 6 5
"2094" 3 3 6 4
"2095" 6 6 3 3
"2096" 5 1 7 2
"2097" 3 1 2 5
"2098" 3 5 6 4
"2099" 2 2 7 2
"2100" 2 2 7 2
"2101" 5 1 7 5
"2102" 1 2 7 2
"2103" 2 2 4 6
"2104" 5 3 6 4
"2105" 2 2 7 2
"2106" 5 3 6 8
"2107" 1 2 2 5
"2108" 1 1 2 5
"2109" 4 4 5 7
"2110" 5 3 6 4
"2111" 3 3 6 4
"2112" 4 4 1 7
"2113" 6 6 3 3
"2114" 1 2 4 6
"2115" 1 2 4 6
"2116" 1 1 2 5
"2117" 6 6 3 3
"2118" 5 5 6 8
"2119" 1 2 4 6
"2120" 1 2 2 2
"2121" 1 1 2 5
"2122" 6 6 3 3
"2123" 3 1 2 5
"2124" 1 2 2 2
"2125" 6 6 3 3
"2126" 3 3 6 4
"2127" 4 1 7 9
"2128" 5 1 2 5
"2129" 3 1 2 4
"2130" 6 6 3 3
"2131" 3 3 6 4
"2132" 1 2 2 5
"2133" 2 2 4 2
"2134" 3 3 6 4
"2135" 2 2 4 2
"2136" 6 6 3 3
"2137" 6 6 3 3
"2138" 2 2 4 2
"2139" 2 2 4 2
"2140" 2 2 4 2
"2141" 3 3 6 4
"2142" 5 5 7 2
"2143" 5 3 6 8
"2144" 5 3 6 4
"2145" 2 2 4 6
"2146" 4 4 5 7
"2147" 5 3 6 8
"2148" 6 6 3 3
"2149" 4 4 5 7
"2150" 3 3 6 4
"2151" 6 6 3 3
"2152" 6 6 3 3
"2153" 2 5 4 2
"2154" 4 4 7 9
"2155" 2 2 4 6
"2156" 5 1 2 5
"2157" 4 4 5 7
"2158" 5 1 7 2
"2159" 1 1 2 2
"2160" 3 3 6 4
"2161" 4 4 5 7
"2162" 6 6 3 3
"2163" 3 1 6 4
"2164" 2 2 4 2
"2165" 1 2 4 2
"2166" 5 5 6 8
"2167" 1 1 2 5
"2168" 3 3 6 4
"2169" 1 1 2 5
"2170" 5 1 7 6
"2171" 5 5 7 2
"2172" 6 6 3 3
"2173" 4 4 5 7
"2174" 6 6 3 3
"2175" 1 1 2 5
"2176" 3 3 6 4
"2177" 6 6 3 3
"2178" 1 1 7 6
"2179" 6 6 3 3
"2180" 4 1 7 5
"2181" 2 2 4 2
"2182" 1 2 4 2
"2183" 6 6 3 3
"2184" 5 1 7 5
"2185" 3 3 6 4
"2186" 5 1 2 4
"2187" 6 6 6 5
"2188" 1 2 4 6
"2189" 1 1 2 2
"2190" 5 5 7 6
"2191" 3 3 6 4
"2192" 3 3 6 4
"2193" 5 2 7 6
"2194" 3 3 6 4
"2195" 2 2 4 2
"2196" 3 1 2 5
"2197" 1 2 2 5
"2198" 2 2 7 2
"2199" 2 2 4 6
"2200" 4 2 4 2
"2201" 5 1 7 2
"2202" 1 2 4 2
"2203" 4 4 7 9
"2204" 2 5 4 2
"2205" 1 2 4 6
"2206" 2 2 7 6
"2207" 2 2 4 2
"2208" 1 1 2 5
"2209" 6 6 3 3
"2210" 4 4 5 7
"2211" 6 6 3 3
"2212" 5 5 6 8
"2213" 1 2 2 5
"2214" 5 1 7 8
"2215" 6 6 3 3
"2216" 1 1 2 5
"2217" 1 2 4 2
"2218" 2 2 4 2
"2219" 2 2 4 2
"2220" 5 5 7 6
"2221" 1 2 4 6
"2222" 3 3 6 5
"2223" 1 1 2 5
